Week,No StoreID,Stores,Sales Report2,Sales Report,LY,YOY CHANGE%,SOB%,STORE PROFILE,BAY COUNT,Average Bay Sale,AREA
1,1020,Centz Patrick Street,"€15,149.83","€15,149.83","€11,431.44",32.50%,1.00%,XS [EXTRA SMALL] ,75,€202.00, Area 3 
1,1019,Centz Cork Street,"€10,708.96","€10,708.96","€7,396.89",44.80%,0.71%,XS [EXTRA SMALL] ,49,€218.55, Area 3 
1,1021,Centz Kinvara,"€10,439.50","€10,439.50","€8,664.92",20.50%,0.69%,XS [EXTRA SMALL] ,68,€153.52, Area 3 
1,1030,Homesavers Arklow,"€28,668.45","€28,668.45","€32,105.91",-10.70%,1.89%,M [MEDIUM] ,278,€103.12, Area 5 
1,1043,Homesavers Westpoint Athlone (A),"€29,806.49","€29,806.49","€33,126.68",-10.00%,1.97%,M [MEDIUM] ,288,€103.49, Area 7 
1,1046,Homesavers Monks Land Athlone (B),"€4,632.43","€4,632.43","€8,168.47",-43.30%,0.31%,M [MEDIUM] ,159,€29.13, Area 7 
1,1008,Homesavers Athy,"€12,914.32","€12,914.32","€8,912.01",44.90%,0.85%,S [SMALL] ,184,€70.19, Area 5 
1,1047,Homesavers Axis Centre Longford,"€29,293.85","€29,293.85","€27,662.08",5.90%,1.93%,M [MEDIUM] ,249,€117.65, Area 7 
1,1011,Homesavers Ballyfermot,"€29,379.17","€29,379.17","€25,220.52",16.50%,1.94%,M [MEDIUM] ,293,€100.27, Area 5 
1,1059,Homesavers Ballyshannon,"€23,853.15","€23,853.15","€20,768.39",14.90%,1.57%,M [MEDIUM] ,273,€87.37, Area 4 
1,1063,Homesavers Briarhill Galway,"€20,561.09","€20,561.09","€19,103.10",7.60%,1.36%,M [MEDIUM] ,236,€87.12, Area 7 
1,1065,Homesavers Bunclody,"€14,379.08","€14,379.08","€19,325.29",-25.60%,0.95%,M [MEDIUM] ,232,€61.98, Area 5 
1,1013,Homesavers Carlow Penny Lane,"€34,696.05","€34,696.05","€27,450.93",26.40%,2.29%,M+ [MEDIUM +] ,401,€86.52, Area 5 
